//Linie,Richtung,Endstation,Wochentage,Stunde,Minute,,,
//-,,"(0 = standard, 1,2,3,... alternative)","63=wochentags, 64 = samstags , 128 = Sonntags",-,-,,,
U8,nord,Riedberg,0b00011111,11,12,27,42,57
U8,nord,Riedberg,0b00011111,12,12,27,42,57
U8,nord,Riedberg,0b00011111,13,12,27,42,57
U8,nord,Riedberg,0b00011111,14,12,27,42,57
U8,nord,Riedberg,0b00011111,15,12,27,42,57
U8,nord,Riedberg,0b00011111,16,14,29,44,59
U8,nord,Riedberg,0b00011111,17,14,29,44,59
U8,nord,Riedberg,0b00011111,18,14,29,44,59
U8,nord,Riedberg,0b00011111,19,14,29,44,59
U8,nord,Riedberg,0b00011111,20,14,29,44,59
U8,nord,Riedberg,0b00011111,21,17,37,52,
U8,nord,Riedberg,0b00011111,22,7,22,37,52
U8,nord,Riedberg,0b00011111,23,7,22,37,52
//Samstags,,,,,,,,
U8,nord,Riedberg,0b00100000,0,7,22,52,
U8,nord,Riedberg,0b00100000,1,22,,,
U8,nord,Riedberg,0b00100000,4,24,52,,
U8,nord,Riedberg,0b00100000,5,22,52,,
U8,nord,Riedberg,0b00100000,6,22,52,,
U8,nord,Riedberg,0b00100000,7,22,52,,
U8,nord,Riedberg,0b00100000,8,10,22,40,52
U8,nord,Riedberg,0b00100000,9,14,29,44,57
U8,nord,Riedberg,0b00100000,10,12,27,42,57
U8,nord,Riedberg,0b00100000,11,12,27,42,57
U8,nord,Riedberg,0b00100000,12,12,27,42,57
U8,nord,Riedberg,0b00100000,13,12,27,42,57
U8,nord,Riedberg,0b00100000,14,12,27,42,57
U8,nord,Riedberg,0b00100000,15,12,27,42,57
U8,nord,Riedberg,0b00100000,16,12,27,42,57
U8,nord,Riedberg,0b00100000,17,12,27,42,57
U8,nord,Riedberg,0b00100000,18,12,27,42,57
U8,nord,Riedberg,0b00100000,19,12,32,52,
U8,nord,Riedberg,0b00100000,20,7,22,37,52
U8,nord,Riedberg,0b00100000,21,7,22,37,52
U8,nord,Riedberg,0b00100000,22,7,22,37,52
U8,nord,Riedberg,0b00100000,23,7,22,37,52
//Sonntags,,,,,,,,
U8,nord,Riedberg,0b01000000,0,7,22,52,
U8,nord,Riedberg,0b01000000,1,22,,,
U8,nord,Riedberg,0b01000000,4,52,,,
U8,nord,Riedberg,0b01000000,5,22,52,,
U8,nord,Riedberg,0b01000000,6,22,52,,
U8,nord,Riedberg,0b01000000,7,22,52,,
U8,nord,Riedberg,0b01000000,8,22,52,,
U8,nord,Riedberg,0b01000000,9,10,22,40,52
U8,nord,Riedberg,0b01000000,10,7,22,37,52
U8,nord,Riedberg,0b01000000,11,7,22,37,52
U8,nord,Riedberg,0b01000000,12,7,22,37,52
U8,nord,Riedberg,0b01000000,13,7,22,37,52
U8,nord,Riedberg,0b01000000,14,7,22,37,52
U8,nord,Riedberg,0b01000000,15,7,22,37,52
U8,nord,Riedberg,0b01000000,16,7,22,37,52
U8,nord,Riedberg,0b01000000,17,7,22,37,52
U8,nord,Riedberg,0b01000000,18,7,22,37,52
U8,nord,Riedberg,0b01000000,19,7,22,37,52
U8,nord,Riedberg,0b01000000,20,7,22,37,52
U8,nord,Riedberg,0b01000000,21,7,22,37,52
U8,nord,Riedberg,0b01000000,22,7,22,37,52
U8,nord,Riedberg,0b01000000,23,7,22,37,52
,,,,,,,,
,,,,,,,,
//U9 Richtung Ginnheim,,,,,,,,
// Wochentags,,,,,,,,
U9,sued,Ginnheim,0b00011111,0,18,48,,
U9,sued,Ginnheim,0b00011111,4,48,,,
U9,sued,Ginnheim,0b00011111,5,18,48,,
U9,sued,Ginnheim,0b00011111,6,18,33,48,
U9,sued,Ginnheim,0b00011111,7,3,18,33,48
U9,sued,Ginnheim,0b00011111,8,3,18,33,48
U9,sued,Ginnheim,0b00011111,9,3,18,33,48
U9,sued,Ginnheim,0b00011111,10,3,18,33,48
U9,sued,Ginnheim,0b00011111,11,3,18,33,48
U9,sued,Ginnheim,0b00011111,12,3,18,33,48
U9,sued,Ginnheim,0b00011111,13,3,18,33,48
U9,sued,Ginnheim,0b00011111,14,3,18,33,48
U9,sued,Ginnheim,0b00011111,15,3,18,33,48
U9,sued,Ginnheim,0b00011111,16,3,18,33,48
U9,sued,Ginnheim,0b00011111,17,3,18,33,48
U9,sued,Ginnheim,0b00011111,18,3,18,33,48
U9,sued,Ginnheim,0b00011111,19,3,18,33,48
U9,sued,Ginnheim,0b00011111,20,3,18,33,48
U9,sued,Ginnheim,0b00011111,21,18,48,,
U9,sued,Ginnheim,0b00011111,22,18,48,,
U9,sued,Ginnheim,0b00011111,23,18,48,,
//Samstags,,,,,,,,
U9,sued,Ginnheim,0b00100000,0,18,48,,
U9,sued,Ginnheim,0b00100000,5,18,48,,
U9,sued,Ginnheim,0b00100000,7,18,33,48,
U9,sued,Ginnheim,0b00100000,8,3,18,33,48
U9,sued,Ginnheim,0b00100000,9,3,18,33,48
U9,sued,Ginnheim,0b00100000,10,3,18,33,48
U9,sued,Ginnheim,0b00100000,11,3,18,33,48
U9,sued,Ginnheim,0b00100000,12,3,18,33,48
U9,sued,Ginnheim,0b00100000,13,3,18,33,48
U9,sued,Ginnheim,0b00100000,14,3,18,33,48
U9,sued,Ginnheim,0b00100000,15,3,18,33,48
U9,sued,Ginnheim,0b00100000,16,3,18,33,48
U9,sued,Ginnheim,0b00100000,17,3,18,33,48
U9,sued,Ginnheim,0b00100000,18,3,18,33,48
U9,sued,Ginnheim,0b00100000,19,3,18,33,48
U9,sued,Ginnheim,0b00100000,20,3,18,33,48
U9,sued,Ginnheim,0b00100000,21,18,48,,
U9,sued,Ginnheim,0b00100000,22,18,48,,
U9,sued,Ginnheim,0b00100000,23,18,48,,
//Sonntags,,,,,,,,
U9,sued,Ginnheim,0b01000000,0,18,48,,
U9,sued,Ginnheim,0b01000000,5,18,48,,
U9,sued,Ginnheim,0b01000000,6,18,48,,
U9,sued,Ginnheim,0b01000000,7,18,48,,
U9,sued,Ginnheim,0b01000000,8,18,48,,
U9,sued,Ginnheim,0b01000000,9,18,33,48,
U9,sued,Ginnheim,0b01000000,10,3,18,33,48
U9,sued,Ginnheim,0b01000000,11,3,18,33,48
U9,sued,Ginnheim,0b01000000,12,3,18,33,48
U9,sued,Ginnheim,0b01000000,13,3,18,33,48
U9,sued,Ginnheim,0b01000000,14,3,18,33,48
U9,sued,Ginnheim,0b01000000,15,3,18,33,48
U9,sued,Ginnheim,0b01000000,16,3,18,33,48
U9,sued,Ginnheim,0b01000000,17,3,18,33,48
U9,sued,Ginnheim,0b01000000,18,3,18,33,48
U9,sued,Ginnheim,0b01000000,19,3,18,33,48
U9,sued,Ginnheim,0b01000000,20,3,18,33,48
U9,sued,Ginnheim,0b01000000,21,18,48,,
U9,sued,Ginnheim,0b01000000,22,18,48,,
U9,sued,Ginnheim,0b01000000,23,18,48,,
,,,,,,,,
//U9 Richtung N.-Eschbach,,,,,,,,
// Wochentags,,,,,,,,
U9,nord,N.-Eschbach,0b00011111,0,13,43,,
U9,nord,N.-Eschbach,0b00011111,4,43,,,
U9,nord,N.-Eschbach,0b00011111,5,13,43,,
U9,nord,N.-Eschbach,0b00011111,6,10,25,40,55
U9,nord,N.-Eschbach,0b00011111,7,10,25,40,55
U9,nord,N.-Eschbach,0b00011111,8,10,25,40,55
U9,nord,N.-Eschbach,0b00011111,9,10,25,40,55
U9,nord,N.-Eschbach,0b00011111,10,10,25,40,55
U9,nord,N.-Eschbach,0b00011111,11,10,25,40,55
U9,nord,N.-Eschbach,0b00011111,12,10,25,40,55
U9,nord,N.-Eschbach,0b00011111,13,10,25,40,55
U9,nord,N.-Eschbach,0b00011111,14,10,25,40,55
U9,nord,N.-Eschbach,0b00011111,15,10,25,40,55
U9,nord,N.-Eschbach,0b00011111,16,10,25,40,55
U9,nord,N.-Eschbach,0b00011111,17,10,25,40,55
U9,nord,N.-Eschbach,0b00011111,18,10,25,40,55
U9,nord,N.-Eschbach,0b00011111,19,10,25,40,55
U9,nord,N.-Eschbach,0b00011111,20,10,25,40,
U9,nord,N.-Eschbach,0b00011111,21,13,43,,
U9,nord,N.-Eschbach,0b00011111,22,13,43,,
U9,nord,N.-Eschbach,0b00011111,23,13,43,,
//Samstags,,,,,,,,
U9,nord,N.-Eschbach,0b00100000,0,13,43,,
U9,nord,N.-Eschbach,0b00100000,5,13,43,,
U9,nord,N.-Eschbach,0b00100000,6,13,43,,
U9,nord,N.-Eschbach,0b00100000,7,10,25,40,55
U9,nord,N.-Eschbach,0b00100000,8,10,25,40,55
U9,nord,N.-Eschbach,0b00100000,9,10,25,40,55
U9,nord,N.-Eschbach,0b00100000,10,10,25,40,55
U9,nord,N.-Eschbach,0b00100000,11,10,25,40,55
U9,nord,N.-Eschbach,0b00100000,12,10,25,40,55
U9,nord,N.-Eschbach,0b00100000,13,10,25,40,55
U9,nord,N.-Eschbach,0b00100000,14,10,25,40,55
U9,nord,N.-Eschbach,0b00100000,15,10,25,40,55
U9,nord,N.-Eschbach,0b00100000,16,10,25,40,55
U9,nord,N.-Eschbach,0b00100000,17,10,25,40,55
U9,nord,N.-Eschbach,0b00100000,18,10,25,40,55
U9,nord,N.-Eschbach,0b00100000,19,10,25,40,58
U9,nord,N.-Eschbach,0b00100000,20,13,28,43,
U9,nord,N.-Eschbach,0b00100000,21,13,43,,
U9,nord,N.-Eschbach,0b00100000,22,13,43,,
U9,nord,N.-Eschbach,0b00100000,23,13,43,,
//Sonntags,,,,,,,,
U9,nord,N.-Eschbach,0b01000000,0,13,43,,
U9,nord,N.-Eschbach,0b01000000,5,13,43,,
U9,nord,N.-Eschbach,0b01000000,6,13,43,,
U9,nord,N.-Eschbach,0b01000000,7,13,43,,
U9,nord,N.-Eschbach,0b01000000,8,13,43,,
U9,nord,N.-Eschbach,0b01000000,9,13,28,43,58
U9,nord,N.-Eschbach,0b01000000,10,13,28,43,58
U9,nord,N.-Eschbach,0b01000000,11,13,28,43,58
U9,nord,N.-Eschbach,0b01000000,12,13,28,43,58
U9,nord,N.-Eschbach,0b01000000,13,13,28,43,58
U9,nord,N.-Eschbach,0b01000000,14,13,28,43,58
U9,nord,N.-Eschbach,0b01000000,15,13,28,43,58
U9,nord,N.-Eschbach,0b01000000,16,13,28,43,58
U9,nord,N.-Eschbach,0b01000000,17,13,28,43,58
U9,nord,N.-Eschbach,0b01000000,18,13,28,43,58
U9,nord,N.-Eschbach,0b01000000,19,13,28,43,58
U9,nord,N.-Eschbach,0b01000000,20,13,28,43,
U9,nord,N.-Eschbach,0b01000000,21,13,43,,
U9,nord,N.-Eschbach,0b01000000,22,13,43,,
U9,nord,N.-Eschbach,0b01000000,23,13,43,,
