"//Linie","Richtung","Endstation","Wochentage","Stunde","Minute",,,,,,,
"//-",,"(0 = standard, 1,2,3,... alternative)","63=wochentags, 64 = samstags , 128 = Sonntags","-","-",,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"//U3 Richtung Hohemark",,,,,,,,,,,,
,,,,,,,,,,,,
"// Wochentags",,,,,,,,,,,,
"U3/U8","sued","Suedbahnhof","0b00011111",19,1,8,16,23,31,38,46,53
"U3/U8","sued","Suedbahnhof","0b00011111",20,1,8,16,23,31,38,46,53
"U3/U8","sued","Suedbahnhof","0b00011111",21,8,20,23,38,50,53,,
"U3/U8","sued","Heddernheim","0b00011111",21,1,,,,,,,
"U3/U8","sued","Suedbahnhof","0b00011111",22,8,20,23,38,50,53,,
"U3/U8","sued","Suedbahnhof","0b00011111",23,8,20,23,38,50,53,,
"U3/U8","sued","Suedbahnhof","0b00111110",0,20,23,50,,,,,
"U3/U8","sued","Heddernheim","0b00111110",0,8,40,50,,,,,
"U3/U8","sued","Heddernheim","0b00111110",8,38,,,,,,,
,,,,,,,,,,,,
"//Samstags",,,,,,,,,,,,
"U3/U8","sued","Suedbahnhof","0b00100000",4,23,38,53,,,,,
"U3/U8","sued","Suedbahnhof","0b00100000",5,8,23,38,53,,,,
"U3/U8","sued","Suedbahnhof","0b00100000",6,8,23,38,53,,,,
"U3/U8","sued","Suedbahnhof","0b00100000",7,8,23,38,53,,,,
"U3/U8","sued","Suedbahnhof","0b00100000",8,6,8,23,31,38,46,53,
"U3/U8","sued","Suedbahnhof","0b00100000",9,1,7,16,22,31,37,46,52
"U3/U8","sued","Suedbahnhof","0b00100000",10,1,7,16,22,31,37,46,52
"U3/U8","sued","Suedbahnhof","0b00100000",11,1,7,16,22,31,37,46,52
"U3/U8","sued","Suedbahnhof","0b00100000",12,1,7,16,22,31,37,46,52
"U3/U8","sued","Suedbahnhof","0b00100000",13,1,7,16,22,31,37,46,52
"U3/U8","sued","Suedbahnhof","0b00100000",14,1,7,16,22,31,37,46,52
"U3/U8","sued","Suedbahnhof","0b00100000",15,1,7,16,22,31,37,46,52
"U3/U8","sued","Suedbahnhof","0b00100000",16,1,7,16,22,31,37,46,52
"U3/U8","sued","Suedbahnhof","0b00100000",17,1,7,16,22,31,37,46,52
"U3/U8","sued","Suedbahnhof","0b00100000",18,1,7,16,22,31,46,52,
"U3/U8","sued","Suedbahnhof","0b00100000",19,8,20,23,38,50,53,,
"U3/U8","sued","Suedbahnhof","0b00100000",20,8,20,23,38,50,53,,
"U3/U8","sued","Suedbahnhof","0b00100000",21,8,20,23,38,50,53,,
"U3/U8","sued","Suedbahnhof","0b00100000",22,8,20,23,38,50,53,,
"U3/U8","sued","Suedbahnhof","0b00100000",23,8,20,23,38,50,53,,
"U3/U8","sued","Suedbahnhof","0b01000000",0,20,23,,,,,,
"U3/U8","sued","Heddernheim","0b01000000",0,8,40,,,,,,
"U3/U8","sued","Heddernheim","0b01000000",1,8,38,,,,,,
,,,,,,,,,,,,
"//Sonntags",,,,,,,,,,,,
"U3/U8","sued","Heddernheim","0b01000000",4,35,,,,,,,
"U3/U8","sued","Suedbahnhof","0b01000000",4,50,,,,,,,
"U3/U8","sued","Heddernheim","0b01000000",5,5,,,,,,,
"U3/U8","sued","Suedbahnhof","0b01000000",5,8,20,38,50,,,,
"U3/U8","sued","Suedbahnhof","0b01000000",6,8,20,38,50,,,,
"U3/U8","sued","Suedbahnhof","0b01000000",7,8,20,38,50,,,,
"U3/U8","sued","Suedbahnhof","0b01000000",8,8,20,38,50,,,,
"U3/U8","sued","Suedbahnhof","0b01000000",9,8,20,23,38,50,53,,
"U3/U8","sued","Suedbahnhof","0b01000000",10,8,20,23,38,50,53,,
"U3/U8","sued","Suedbahnhof","0b01000000",11,8,20,23,38,50,53,,
"U3/U8","sued","Suedbahnhof","0b01000000",12,8,20,23,38,50,53,,
"U3/U8","sued","Suedbahnhof","0b01000000",13,8,20,23,38,50,53,,
"U3/U8","sued","Suedbahnhof","0b01000000",14,8,20,23,38,50,53,,
"U3/U8","sued","Suedbahnhof","0b01000000",15,8,20,23,38,50,53,,
"U3/U8","sued","Suedbahnhof","0b01000000",16,8,20,23,38,50,53,,
"U3/U8","sued","Suedbahnhof","0b01000000",17,8,20,23,38,50,53,,
"U3/U8","sued","Suedbahnhof","0b01000000",18,8,20,23,38,50,53,,
"U3/U8","sued","Suedbahnhof","0b01000000",19,8,20,23,38,50,53,,
"U3/U8","sued","Suedbahnhof","0b01000000",20,8,20,23,38,50,53,,
"U3/U8","sued","Suedbahnhof","0b01000000",21,8,20,23,38,50,53,,
"U3/U8","sued","Suedbahnhof","0b01000000",22,8,20,23,38,50,53,,
"U3/U8","sued","Suedbahnhof","0b01000000",23,8,20,23,38,50,53,,
"U3/U8","sued","Suedbahnhof","0b00000001",0,20,23,,,,,,
"U3/U8","sued","Heddernheim","0b00000001",0,8,40,,,,,,
"U3/U8","sued","Heddernheim","0b00000001",1,8,38,,,,,,
